t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
2736.957,0,-1,4,1,2,1,1,1
2736.957,0,2,-2,0,0,-1,0,-1
2736.957,0,2,-1,-1,-3,0,2,0
2736.957,0,0,0,0,1,2,-1,1
2760.289,1,0,-3,-2,1,-2,0,0
2760.289,1,0,-2,-2,-2,-1,1,1
2760.289,0,-1,0,-3,-1,-1,-4,0
2760.289,1,3,0,-2,1,0,-1,-1
2774.143,-1,0,1,-1,-1,1,1,0
2774.143,1,1,-2,1,1,1,-1,-2
2775.192,0,-2,1,-2,-1,-3,0,-1
2775.192,1,1,1,1,0,3,0,-1
2796.485,1,3,-1,-2,1,-1,-2,-2
2796.485,-2,-2,-2,-1,0,-2,1,1
2797.513,0,0,-1,0,0,-1,1,2
2797.513,0,-1,-1,0,-2,0,-1,-1
2820.086,0,-2,0,-1,0,0,0,2
